Component,Location,Type,JSXCount,HasStatefulLogic,HasUIElements,Exports,FileSizeBytes,DependsOnMUI,UsesInternalPath,ExtractedExportName,SharingPotential,Category
constants,actions\core\constants.js,FunctionalComponent,0,No,No,Yes,4107,No,No,NAVIGATION,Low,Needs Review
index,actions\handlers\index.js,Unknown,0,No,No,Yes,437,No,No,,Low,Needs Review
navigation,actions\handlers\navigation.js,Unknown,0,No,No,Yes,3874,No,No,,Low,Needs Review
selection,actions\handlers\selection.js,Unknown,0,No,No,Yes,7630,No,No,,Low,Share-Refactor
actionsColumns,actions\tracker\components\columns\actionsColumns.js,Unknown,0,No,No,Yes,1029,No,No,ActionColumns,Low,Needs Review
metricsColumns,actions\tracker\components\columns\metricsColumns.js,Unknown,0,No,No,Yes,1351,No,No,MetricsColumns,Low,Needs Review
MetricsTable,actions\tracker\components\MetricsTable.jsx,FunctionalComponent,11,Yes,Yes,Yes,2215,Yes,No,,Medium,Share-Refactor
Presenter,actions\tracker\components\Presenter.jsx,FunctionalComponent,0,No,No,Yes,2021,No,No,Presenter,Low,Needs Review
TrackerTable,actions\tracker\components\TrackerTable.jsx,FunctionalComponent,11,Yes,Yes,Yes,2392,Yes,No,,Medium,Share-Refactor
ActionHandlerContext,actions\ActionHandlerContext.jsx,FunctionalComponent,1,Yes,Yes,Yes,2416,No,No,ActionHandlerProvider,Low,Needs Review
actionHandlers,actions\actionHandlers.js,FunctionalComponent,0,No,No,Yes,3140,No,No,registerActionHandlers,Low,Needs Review
ActionProvider,actions\ActionProvider.jsx,FunctionalComponent,1,No,Yes,Yes,1259,No,No,ActionProvider,Low,Needs Review
actionStore,actions\actionStore.js,FunctionalComponent,0,Yes,No,Yes,5558,No,No,actionTrackingStore,Low,Needs Review
hooks,actions\hooks.js,FunctionalComponent,0,Yes,No,Yes,1716,No,No,useAction,Low,Needs Review
store,actions\store.js,FunctionalComponent,0,No,No,Yes,1615,No,No,getMetricsState,Low,Needs Review
tracker,actions\tracker.js,FunctionalComponent,0,No,No,Yes,7123,No,No,trackAction,Low,Needs Review
TrackingProvider,actions\TrackingProvider.jsx,FunctionalComponent,1,No,Yes,Yes,1624,No,No,withTracking,Low,Needs Review
api,api\api.js,FunctionalComponent,0,No,No,Yes,3152,No,No,execEventType,Low,Needs Review
AuthProvider,auth\AuthProvider.js,FunctionalComponent,1,Yes,Yes,Yes,2534,No,No,AuthProvider,Low,Needs Review
index,components\1-page\a-layout\index.js,Unknown,0,No,No,Yes,327,No,No,,Low,App-Specific
PageContent,components\1-page\a-layout\PageContent.jsx,FunctionalComponent,4,No,Yes,Yes,1003,Yes,No,,High,App-Specific
PageFooter,components\1-page\a-layout\PageFooter.jsx,FunctionalComponent,6,No,Yes,Yes,1194,Yes,No,,High,App-Specific
PageHeader,components\1-page\a-layout\PageHeader.jsx,FunctionalComponent,13,No,Yes,Yes,1848,Yes,No,,High,App-Specific
AppBar,components\1-page\b-navigation\aa-AppBar\AppBar.jsx,FunctionalComponent,7,No,Yes,Yes,1188,Yes,No,,High,App-Specific
AccountSelector,components\1-page\b-navigation\bb-Sidebar\components\AccountSelector.jsx,Unknown,1,Yes,Yes,Yes,1568,No,No,,Low,Share-Refactor
index,components\1-page\b-navigation\bb-Sidebar\index.js,Unknown,0,No,No,No,37,No,No,,Low,App-Specific
Sidebar,components\1-page\b-navigation\bb-Sidebar\Sidebar.jsx,FunctionalComponent,6,No,Yes,Yes,2097,Yes,No,,High,App-Specific
SidebarContent,components\1-page\b-navigation\bb-Sidebar\SidebarContent.jsx,Unknown,7,No,Yes,Yes,1152,Yes,No,,Low,App-Specific
SidebarHeader,components\1-page\b-navigation\bb-Sidebar\SidebarHeader.jsx,FunctionalComponent,3,No,Yes,Yes,629,Yes,No,,High,App-Specific
SidebarNav,components\1-page\b-navigation\bb-Sidebar\SidebarNav.jsx,FunctionalComponent,6,No,Yes,Yes,1473,Yes,No,,High,App-Specific
SidebarNavItem,components\1-page\b-navigation\bb-Sidebar\SidebarNavItem.jsx,FunctionalComponent,10,Yes,Yes,Yes,1926,Yes,No,,Medium,App-Specific
Breadcrumbs,components\1-page\b-navigation\cc-PageHeader\Breadcrumbs.jsx,Unknown,4,No,Yes,Yes,988,Yes,No,,Low,App-Specific
AddButton,components\1-page\c-crud\CrudLayout\components\AddButton.jsx,FunctionalComponent,2,No,Yes,Yes,727,Yes,No,,High,App-Specific
ConfigError,components\1-page\c-crud\CrudLayout\components\ConfigError.jsx,FunctionalComponent,11,No,Yes,Yes,1725,Yes,No,,High,App-Specific
FormSection,components\1-page\c-crud\CrudLayout\components\FormSection.jsx,FunctionalComponent,1,No,Yes,Yes,1160,No,No,,Low,App-Specific
PageMapError,components\1-page\c-crud\CrudLayout\components\PageMapError.jsx,FunctionalComponent,11,No,Yes,Yes,1682,Yes,No,,High,App-Specific
TableSection,components\1-page\c-crud\CrudLayout\components\TableSection.jsx,FunctionalComponent,3,No,Yes,Yes,1553,Yes,No,,High,Share-Candidate
useCrudActions,components\1-page\c-crud\CrudLayout\hooks\useCrudActions.js,FunctionalComponent,0,No,No,Yes,3626,No,No,,Low,App-Specific
usePageMapValidation,components\1-page\c-crud\CrudLayout\hooks\usePageMapValidation.js,FunctionalComponent,0,No,No,Yes,849,No,No,,Low,App-Specific
useParentID,components\1-page\c-crud\CrudLayout\hooks\useParentID.js,FunctionalComponent,0,Yes,No,Yes,3520,No,No,,Low,App-Specific
